Institution ID,ï»¿Institution,City,State/Province,Country
30,Beihang Univeristy,Beijing,,China
599,North China Electric Power Univercity,Changping,Beijing,China
901,Sichuan University,Chengdu,Sichuan,China
795,"Shandong University, Shandong, China",Jinan,Shandong,China
1010,Sun Yat-sen University,GuangZhou,GuangDong,China
23,BeiJing University Of Post And Telecommunication,Beijing,Beijing,China
938,"South China Normal University, Guangzhou, P.R. China",Guangzhou,Guangdong,China
835,Shanghai University of Finance and Economics,Shanghai,Shanghai,China
570,Nankai University,Tianjin,,China
21,BeiJing University Of Post And Telecommunication,BEIJING,BEIJING,China
828,Shanghai University of Electric Power,Shanghai,,China
377,Huazhong Agricultural University,Wuhan,Hubei,China
972,Southwest Jiaotong University,CHENGDU,SICHUAN,China
19,BNU-HKBU United International College,Zhuhai,Guangdong,China
1066,Tianjin University of Commerce,Tianjin,China Mainland,China
353,High School Affiliated to People's University (RDFZ),Beijing,,China
992,Southwestern University of Finance and Economics,Chengdu,Sichuan,China
379,Huazhong Agriculture University,WuHan,Hubei,China
1382,shenyang jianzhu university,shenyang,Liaoning,China
403,Idaho State University,Pocatello,ID,USA
1181,University of Science and Technology of China,Hefei,Anhui,China
573,Nankai University,Tianjin Province,,China
625,Northwestern Polytechnical University,Xi'an,Shaanxi,China
1081,Tongji University,shanghai,Shanghai,China
721,SUN YAT-SEN UNIVERSITY,GUANG ZHOU,,China
882,Shijiazhuang Tiedao University,Shijiazhuang,Hebei,China
1080,Tongji University,Shanghai,Shanghai,China
1251,Wuhan University,Wuhan,Hubei,China
254,Fudan University,Shanghai,,China
849,Shanxi University,Taiyuan,Shanxi,China
1005,Sun Yat-Sen University,Guangzhou,Guangdong,China
712,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,SHANGHAI,SHANGHAI,China
957,South-Central University for Nationalities,WuHan,HuBei,China
149,Chongqing University,Chongqing,Chongqing,China
872,Shenyang jianzhu University,Shenyang,Liaoning,China
932,South China Normal University,Guangzhou,,China
241,Economics,beijing,beijing,China
232,East China University Of Science And Technology,Shanghai,Shanghai,China
46,Beijing National Day School,Beijing,,China
862,Shenyang Jianzhu University,Shenyang,Liaoning,China
56,Beijing University of Aeronautics and Astronautics,Beijing,Beijing,China
694,Renmin University of China,Beijing,Beijing,China
1375,school of mathematics,shanghai,shanghai,China
1135,University of International Business and Economics,Beijing,,China
771,Shandong Institute of Business and Technology,Yantai,Shandong,China
641,Officers College Of CAPF,ChengDu,SiChuan,China
740,"School of Information, Renmin University of China",Beijing,Beijing,China
236,East China University of Science and Technology,Shanghai,Shanghai,China
653,Panzhihua University,Pan Zhihua,SiChuan,China
658,Peking University,Beijing,,China
219,Donghua University,Shanghai,Shanghai,China
1207,University of science and technology of China,Hefei,Anhui,China
49,Beijing Normal University,Beijing,China,China
225,East China Institute of Technology,Nanchang,Jiangxi,China
863,Shenyang Jianzhu University,shenyang,Liaoning,China
286,Guangdong University of Foreign Studies,Guangzhou,Guangdong,China
86,Capital University of Economics and Business,Beijing,,China
428,Institute of Microelectronics,Beijing,Beijing,China
577,"Nankai university ,China",Tianjing,Tianjing,China
1079,Tongji University,SHANGHAI,,China
482,Lanzhou university,lanzhou,Gansu,China
555,Nanjing University,"Haian,Nantong",Jiangsu,China
1283,Xi'an University of Posts and Telecommunications,Xi'an,Shaanxi,China
969,Southern Medical University,Guangzhou,Guangdong Province,China
309,Harbin Institute of Technology,Harbin,Heilongjiang,China
199,Dalian Maritime University,Dalian,Liaoning,China
1078,TongJi university,ShangHai,,China
1335,Zhejiang University,Hangzhou,Zhejiang,China
1360,Zhongnan University of Economics and Law,Wuhan,Hubei,China
1321,ZUEL,wuhan,hubei,China
230,East China Normal University,Shanghai,,China
851,Shanxi University,"Taiyuan, Shanxi",,China
850,Shanxi University,"Taiyuan , Shanxi",,China
249,"FuYang Normal College, AnHui, China.",FuYang,,China
259,"Fuyang Normal College, Anhui province, China.",Fuyang,yingzhou,China
258,"Fuyang Normal College, Anhui province, China.",FuYang,yingzhou,China
811,Shanghai Jiao Tong University,Shanghai,Shanghai,China
809,Shanghai Jiao Tong University,Shang Hai,Shang Hai,China
852,Shanxi University,"Taiyuan, Shanxi,",,China
812,Shanghai Jiao Tong University,shanghai,shanghai,China
853,Shanxi University,"Taiyuan,Shanxi",,China
600,North China Electric Power University,Baoding,Hebei Province,China
300,Hainan University,HaiKou,HaiNan,China
734,School of Electrical Engineering,Wuhan,Hubei,China
725,Sacred Heart University,Fairfield,CT,USA
737,"School of Engineering,Sun Yat-Sen University",Guangzhou,Guangdong,China
933,South China Normal University,Guangzhou City,Guangdong,China
1240,WuHan University Of Tecnology,WuHan,HuBei,China
1180,University of Science and Technology of China,HeFei,AnHui,China
787,Shandong University of Science and Technology,Qingdao,P.R.China,China
868,Shenyang Pharmaceutical University,Benxi,Liaoning,China
750,"School of Reliability and Systems Engineering,Beihang University",Beijing,Beijing,China
1317,Yunnan Normal University,Kunming,Yunnan Province,China
189,Columbia University,New York,NY,USA
922,South China Agricultural University,Guangzhou,Guangdong,China
873,Shenyang jianzhu University,shenyang,Liaoning,China
1391,the city college of jilin jianzhu university,Changchun City,jilin,China
61,Beijing University of Technology,Beijing,Beijing,China
991,Southwestern University of Finance and Economics,ChengDu,Wenjiang,China
301,Hainan University,Haikou,Hainan,China
1021,Taiyuan University,jinzhong,shanxi,China
197,Dalian Institute of Science and Technology,Dalian,Liaoning,China
413,Inner Mongolia Agricultural University,Hohhot,,China
215,Dongbei University of Finance and Economics,Dalian,Liaoning Province,China
1141,University of International Business and Economy,Beijing,Chaoyang,China
1138,University of International Business and Economics of China,Beijing,,China
840,Shanghai Universtiy of Finance and Economics,Shanghai,,China
1103,Undergraduate course,Xi'an,Shan Xi,China
324,Hefei No.8 high school,Hefei,Anhui,China
685,RENMIN UNIVERSITY of CHINA,Beijing,China,China
190,Communication University of China,Beijing,,China
1011,Sun Yat-sen University,Guangzhou,Guangdong,China
163,Civil Aviation University of China,Tianjin,,China
1095,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,Hefei,Anhui,China
180,"College of Science, Northeastern University, China",Shenyang,Liaoning,China
994,Southwestern University of Finance and Economics,chengdu,sichuan,China
965,Southeast University,NANJING,JIANGSU,China
1133,University of International Business and Economics,BEIJING,BEIJING,China
1288,Xiamen University,Xiamen,Fujian,China
956,South-Central University for Nationalities,Wu han,Hu bei,China
1148,University of Internetional Business and Economics,Beijing,,China
838,Shanghai University of Financial & Economics,Shanghai,,China
352,Hexi University,Zhangye,Gansu,China
41,Beijing Institute of Technology,Beijing,Beijing,China
556,Nanjing University,Nanjing,Jiangsu,China
1276,Xi'an University of Architecture and Technology,Xi'an,Shaanxi,China
220,Donghua university,Shanghai,,China
964,SouthWestern University of Finance and Economics,chengdu,sichuan,China
1192,University of Shanghai for Science and Technology,Shanghai,Shanghai,China
1108,Universith of International Business and Economics,Beijing,,China
981,Southwest University of Finance and Economics,Chengdu,Sichuan,China
1116,University of Business and Economics,Beijing,Beijing,China
105,Cheng Yi College of Jimei University,Xiamen,Fujian,China
1098,USTC,Hefei,Anhui,China
1399,university of international business and economics,Beijing China,Beijing,China
1139,"University of International Business and Economics, China",Beijing,Beijing,China
1092,UIBE,Beijing,,China
807,Shanghai Jiao Tong Univeresity,Shanghai,Shanghai,China
1093,UNIVERSITY OF INTERNATIONAL BUSINESS AND ECONOMICS,BEIJING CHINA,BEIJING,China
898,Sichuan Uinversity,Chengdu,Sichuan,China
1014,Sun Yat-sen University&Peking University&Peking University,Guangzhou,,China
753,School of Statistics,Beijing,,China
1398,university of international business and economics,Beijing,Beijing,China
796,Shandong university,Jinan,Shandong,China
281,Guangdong University of Finance,Guangzhou,GuangDong,China
559,Nanjing University of Information Science & Technology,"Nanjing,Jiangsu Province",,China
1333,Zhejiang University,Hang Zhou,Zhe Jiang,China
1234,Wheaton College (IL),Wheaton IL,IL,USA
327,Heilongjiang College of Construction,Harbin,Heilongjiang,China
867,Shenyang Normal University,Shenyang,Liaoning,China
596,Ningxia University,Yinchuan,the Ningxia Hui Autonomous Region,China
522,Minzu University of China,Beijing,Beijing,China
885,Shiyuan College of Guangxi Teachers Education University,Nanning,Guangxi,China
48,Beijing Normal University,Bei Jing,Bei Jing,China
709,SHANGHAI JIAO TONG UNIVERSITY,Shanghai,SHANGHAI,China
1307,Yangtze University,Jingzhou,Hubei,China
560,Nanjing University of Information Science and Technology,Nanjing,Jiangsu,China
305,Hangzhou Normal University,Hangzhou,Zhejiang,China
100,Changchun University of Science and Technology,Changchun,Jilin,China
558,Nanjing University of Information Science & Technology,Nanjing,Jiangsu,China
329,Heilongjiang University,Harbin,Heilongjiang,China
1358,Zhongnan University Of Economics And Laws,Wuhan,Hubei,China
316,He'nan Normal University,xinxiang,Henan,China
92,Central University of Finance and Ecomomics,Beijing,Asia,China
1003,"State University of New York, University at Buffalo",Buffalo,NY,USA
376,Huazhon university of science and technology,Wuhan,Hubei,China
598,North China ELectric Power University,Beijing,,China
65,BeijingÂ UniversityÂ ofÂ Post and Telecommunication,Beijing,Beijing,China
746,School of Mathematics,BeiJing,,China
474,Kunming University of Science and Technology,Kunming,Yunnan,China
892,Sichuan Agricultural University,Ya'an,Sichuan,China
948,South University of Science and Technology of China,Shenzhen,Guangdong,China
349,Henan normal university,xinxiang,henan,China
1176,University of Science and Technology Beijing,Beijing,Beijing,China
1146,University of International and Economics,Beijing,,China
1109,Universitiy of International Business and Economics,Beijing,,China
966,Southeast University,Nanjing,Jiangsu Provience,China
1091,UIBE,BeiJing,,China
1147,University of International business and economics,Beijing,Beijing,China
1047,The University of International Business and Economics,Being,,China
1132,University of International Business and Econmics,Beijing,Beijing,China
402,IUPUI,Indianapolis,IN,USA
14,Anqing Normal University,Anqing,Anhui,China
595,Ningbo University,Ningbo,ZheJiang,China
1237,Wu Han University,WuHan,HuBei,China
1004,Statistic,Beijing,,China
1351,Zhengzhou University,Zhengzhou,Henan,China
1385,shenyangjianzhu university,shenyang,liaoning,China
1136,University of International Business and Economics,Beijng,,China
1145,University of International and Business Economics,"Beijing,China",,China
1122,University of Colorado Boulder,Boulder,CO,USA
50,"Beijing Normal University, Zhuhai",Zhuhai,,China
51,"Beijing Normal University, Zhuhai",Zhuhai City,Guangdong,China
1046,The University of International Business and Economics,Beijing,,China
736,"School of Engineering, Sun Yat-Sen University",Guangzhou,Guangdong,China
1142,University of International Business&Economics,Beijing,Beijing,China
110,Chengdu University of Information Technology,Chengdu City,Si Chuan Province,China
962,SouthWest Jiaotong University,Chengdu,Sichuan,China
507,"Math Institution ,Beihang University",Beijing,China,China
597,"No. 10, Huixin Dongjie, Chaoyang District, Beijing, P.R. China",Beijing,Beijing,China
1324,ZheJiang University,Hangzhou,,China
37,Beijing Forestry University,Beijing,,China
35,Beihua University,Jilin,Jilin,China
1206,University of international business and economics,Beijing,Beijing,China
523,Minzu University of China,Beijng,,China
755,School of mathematics and statistics,Beijing,Beijing,China
1137,University of International Business and Economics,beijing,beijing,China
648,PLA Imformation Engineering University,ZhengZhou,HeNan,China
1285,Xi'an University of architecture and technology,Xi'an,Shanxi,China
774,Shandong Normal University,Jinan,Shandong,China
640,Officer's college of CAPF,Chengdu,Sichuan,China
1069,Tianjin University of Science and Technology,TianJin,TianJin,China
414,Inner Mongolia University,Hohhot,Inner Monglia,China
671,Qingdao Technical Colleage,Qingdao,Shandong,China
691,Renmin University Of China,Beijing,Beijing,China
1101,Undergraduate course,Beijing,Beijing,China
765,ShanDong University,Jinan,Shandong,China
937,South China Normal University,guangzhou,Guangdong,China
355,Hohai University,Nanjing,Jiangsu,China
582,"National Engineering Research Center for Multimedia Software, Wuhan University",Wuhan,Hubei,China
1205,University of international business and economics,BEIJING,BeiJing,China
289,Guangdong University of Technology,Guangzhou,Guangdong,China
718,SOUTH WEST JIAOTONG UNIVERSITY,CHENG DU,SI CHUAN,China
240,Economics,Beijing,Bejing,China
832,Shanghai University of Finance and Ecomonics,Shanghai,,China
1392,tongji university,shanghai,shanghai,China
526,Minzu university of China,Beijing,Beijing,China
813,Shanghai JiaoTong University,Shanghai,,China
28,Beihang Univeristy,BeiJing,BeiJing,China
123,China University of Geosciences (Wuhan),Wuhan,Hubei,China
928,South China Normal University,Guang Zhou,Guang Dong,China
1110,University,Beijing,,China
894,Sichuan Agriculture University,Chengdu,Sichuan,China
1339,Zhejiang University,hangzhou,zhejiang,China
11,Anhui University Of Science & Technology,Huainan,Anhui,China
724,SYSU,Guangzhou,Guangzhou,China
1397,university of International Business and Economics,Beijing,Beijing,China
1042,The University Of International Business Economics,Beijing,Beijing,China
1390,the University of International Business and Economics,Beijing,Beijing,China
677,Qinghai University,Xining,Qinghai,China
1275,Xi'an University of Architecture and Technology,Xi' an,Shaanxi,China
