Institution ID,ï»¿Institution,City,State/Province,Country,Teams Entered
377,Huazhong Agricultural University,Wuhan,Hubei,China,308.0
309,Harbin Institute of Technology,Harbin,Heilongjiang,China,221.0
863,Shenyang Jianzhu University,shenyang,Liaoning,China,206.0
377,Huazhong Agricultural University,Wuhan,Hubei,China,202.0
577,"Nankai university ,China",Tianjing,Tianjing,China,187.0
377,Huazhong Agricultural University,Wuhan,Hubei,China,158.0
309,Harbin Institute of Technology,Harbin,Heilongjiang,China,156.0
254,Fudan University,Shanghai,,China,148.0
1060,Tianjin Foreign Studies University,Tianjin,Tianjin,China,129.0
1135,University of International Business and Economics,Beijing,Beijing,China,123.0
1307,Yangtze University,Jingzhou,Hubei,China,116.0
1392,tongji university,shanghai,shanghai,China,112.0
1324,ZheJiang University,Hangzhou,,China,110.0
100,Changchun University of Science and Technology,Changchun,Jilin,China,103.0
811,Shanghai Jiao Tong University,Shanghai,Shanghai,China,102.0
740,"School of Information, Renmin University of China",Beijing,Beijing,China,101.0
86,Capital University of Economics and Business,Beijing,,China,100.0
241,Economics,beijing,beijing,China,96.0
812,Shanghai Jiao Tong University,shanghai,shanghai,China,93.0
1382,shenyang jianzhu university,shenyang,liaoning,China,88.0
882,Shijiazhuang Tiedao University,Shijiazhuang,Hebei,China,86.0
309,Harbin Institute of Technology,Harbin,Heilongjiang,China,86.0
658,Peking University,Beijing,,China,84.0
149,Chongqing University,Chongqing,Chongqing,China,83.0
570,Nankai University,Tianjin,Tianjin,China,79.0
1122,University of Colorado Boulder,Boulder,CO,USA,77.0
570,Nankai University,Tianjin,,China,76.0
309,Harbin Institute of Technology,Harbin,Heilongjiang,China,75.0
309,Harbin Institute of Technology,Harbin,Heilongjiang,China,72.0
1135,University of International Business and Economics,Beijing,Beijing,China,68.0
570,Nankai University,Tianjin,,China,68.0
309,Harbin Institute of Technology,Harbin,Heilongjiang,China,66.0
966,Southeast University,Nanjing,Jiangsu Provience,China,61.0
573,Nankai University,Tianjin Province,,China,59.0
309,Harbin Institute of Technology,Harbin,Heilongjiang,China,59.0
254,Fudan University,Shanghai,,China,58.0
254,Fudan University,Shanghai,,China,56.0
199,Dalian Maritime University,Dalian,Liaoning,China,55.0
232,East China University Of Science And Technology,Shanghai,Shanghai,China,54.0
1135,University of International Business and Economics,Beijing,Beijing,China,53.0
199,Dalian Maritime University,Dalian,Liaoning,China,51.0
932,South China Normal University,Guangzhou,Guangdong,China,51.0
377,Huazhong Agricultural University,Wuhan,Hubei,China,49.0
658,Peking University,Beijing,,China,48.0
309,Harbin Institute of Technology,Harbin,Heilongjiang,China,48.0
658,Peking University,Beijing,,China,44.0
309,Harbin Institute of Technology,Harbin,Heilongjiang,China,41.0
863,Shenyang Jianzhu University,shenyang,Liaoning,China,40.0
956,South-Central University for Nationalities,Wu han,Hu bei,China,39.0
598,North China ELectric Power University,Beijing,,China,38.0
86,Capital University of Economics and Business,Beijing,,China,38.0
1005,Sun Yat-Sen University,Guangzhou,Guangdong,China,38.0
309,Harbin Institute of Technology,Harbin,Heilongjiang,China,38.0
653,Panzhihua University,Pan Zhihua,SiChuan,China,37.0
736,"School of Engineering, Sun Yat-Sen University",Guangzhou,Guangdong,China,37.0
1135,University of International Business and Economics,Beijing,Beijing,China,37.0
180,"College of Science, Northeastern University, China",Shenyang,Liaoning,China,37.0
570,Nankai University,Tianjin,Tianjin,China,36.0
1135,University of International Business and Economics,Beijing,,China,36.0
966,Southeast University,Nanjing,Jiangsu Provience,China,36.0
1135,University of International Business and Economics,Beijing,Beijing,China,35.0
310,Harbin Institute of Technology,Weihai,Shandong,China,34.0
