Team Number,Advisor,Problem,Ranking,Institution ID
32150,Ligong Wang,A,Outstanding Winner,625
32722,John Ringland,A,Outstanding Winner,1003
32879,Bengt Fornberg,B,Outstanding Winner,1122
33572,Banghe Han,C,Outstanding Winner,1266
33900,Qifen Jiang,C,Outstanding Winner,812
34317,Qu Gong,A,Outstanding Winner,149
34985,Daniel J Teague,D,Outstanding Winner,537
35532,Xuanyun Qin,A,Outstanding Winner,90
35778,Lei Chen,C,Outstanding Winner,1270
35780,Lei Chen,D,Outstanding Winner,1270
36178,Nathan Gossett,B,Outstanding Winner,69
37075,Zhenbo Wang,C,Outstanding Winner,1085
37284,Dan Wang,C,Outstanding Winner,585
38720,Bengt Fornberg,B,Outstanding Winner,1122
38727,Brad Finney,D,Outstanding Winner,394
38996,Zhiyi TAN,D,Outstanding Winner,1335
39173,Andrea Bruder,B,Outstanding Winner,187
40612,Zhenbo Wang,B,Outstanding Winner,1085
40764,Sanjeeva Balasuriya,A,Outstanding Winner,1115
