Team Number,Advisor,Problem,Ranking,Institution ID
32722,John Ringland,A,Outstanding Winner,1003
32815,Zhong Jin,B,Meritorious,402
32878,Anne M Dougherty,A,Meritorious,1122
32879,Bengt Fornberg,B,Outstanding Winner,1122
34983,Daniel J Teague,B,Meritorious,537
34985,Daniel J Teague,D,Outstanding Winner,537
36178,Nathan Gossett,B,Outstanding Winner,69
36351,Mark C St John,A,Meritorious,194
36574,Susan A Toma,D,Meritorious,503
36806,Ivan Corwin,A,Meritorious,189
36807,Jing Qin,B,Meritorious,1117
37665,Mark H Goadrich,B,Meritorious,350
37676,Jing Qin,B,Meritorious,1117
37718,Christina M Weaver,A,Meritorious,248
38004,Anne M Dougherty,B,Meritorious,1122
38008,Jue Wang,A,Meritorious,1104
38379,Laihan Luo,A,Meritorious,591
38380,James H Degnan,A,Meritorious,1163
38720,Bengt Fornberg,B,Outstanding Winner,1122
38727,Brad Finney,D,Outstanding Winner,394
38729,Brad Finney,C,Meritorious,394
39153,Saverio E Spagnolie,D,Meritorious,1203
39160,Gary A Olson,C,Finalist,1123
39171,Hoa Nguyen,B,Meritorious,1082
39173,Andrea Bruder,B,Outstanding Winner,187
40056,Radleigh G Santos,C,Meritorious,6
40685,Yorck I SommerhÃ¤user,B,Meritorious,1114
40730,Dan Schult,A,Meritorious,168
40737,Susan E Martonosi,C,Finalist,315
40740,Susan E Martonosi,D,Meritorious,315
40741,Susan E Martonosi,C,Meritorious,315
40742,Susan E Martonosi,A,Meritorious,315
40750,Wai Lau,A,Meritorious,757
40760,Charles D Camp,B,Meritorious,81
40784,Jing Qin,B,Meritorious,1117
40860,James Allen Morrow,B,Meritorious,1198
41138,Brian Heinold,A,Meritorious,531
41159,Lizette Zietsman,B,Meritorious,1211
41161,Henning S. Mortveit,A,Meritorious,1211
41170,Mark Embree,A,Meritorious,1211
41202,Murphy Waggoner,D,Meritorious,908
41205,Murphy Waggoner,D,Meritorious,908
41208,Murphy Waggoner,A,Meritorious,908
41227,Bill Pardon,A,Meritorious,221
41229,David Kraines,A,Meritorious,221
41248,Aaron Hoffman,A,Meritorious,644
41268,Robert D Wooster,B,Meritorious,185
41272,George T Yates,A,Meritorious,1313
41274,Alicia Prieto-Langarica,A,Meritorious,1313
41280,Stephen Keeley,A,Meritorious,592
41718,Russell Lee Carden,B,Meritorious,1150
41737,Kelly S. Cline,B,Meritorious,88
41739,Kelly S. Cline,D,Meritorious,88
41743,Kelly S. Cline,B,Meritorious,88
41747,Roger T Bonnecaze,B,Meritorious,1196
41768,Murphy Waggoner,D,Meritorious,908
41773,Alexandra Ortan,A,Meritorious,1158
41898,Laurie J Heyer,B,Meritorious,209
41900,Laurie J Heyer,B,Meritorious,209
41927,Alexander Vladimirsky,B,Meritorious,193
41932,Alexander Vladimirsky,A,Meritorious,193
41944,Peter Roland Kramer,C,Finalist,698
41964,Peter Roland Kramer,A,Meritorious,698
42013,Theodore J Wendt,A,Meritorious,88
42014,Theodore J Wendt,A,Meritorious,88
42038,Cong Liu,B,Meritorious,406
42041,Song Chen,D,Meritorious,1200
42047,Zachary J Abernathy,A,Meritorious,1235
42051,Vincent Quenneville-Belair,C,Meritorious,1158
